valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Labidus.praedator,22.9903875,160.6761813,10.21415625,1,1500000
Lasius.alienus,9.757113208,72.5761074,10.96917852,0,3000
Lasius.flavus,8.559922794,71.17398529,9.506954044,1,4885
Lasius.grandis,13.43566038,60.67320755,10.52135849,0,10000
Lasius.niger,8.727509839,64.44501431,9.55922898,0,23205.5
Leptogenys.attenuata,16.213,62.89333333,12.97233333,0,90
Leptogenys.bituberculata,23.728,279.144,13.167,0,300
Leptogenys.castanea,15.9845,45.053,12.36025,0,289
Leptogenys.chinensis,24.95933333,142.8443333,10.9895,0,367
Leptogenys.diminuta,24.1383125,213.9430938,10.360875,0,269.89
Leptogenys.intermedia,17.2474,69.7993,13.5656,0,595
Leptogenys.mjobergi,21.764,122.685,10.4365,0,35
Leptogenys.processionalis,25.70491667,169.4243333,8.886583333,0,41000
Leptogenys.purpurea,22.1556,278.9466,11.585,0,1250
Leptomyrmex.fragilis,23.97040625,248.0793438,11.26259375,0,350
Leptothorax.acervorum,5.798657576,71.69879394,7.832842424,1,49.99
Leptothorax.gredleri,6.484058824,63.90758824,8.488705882,0,33
Leptothorax.muscorum,4.621088462,62.46203846,10.78180385,0,41.57
Liometopum.apiculatum,14.15048052,35.75381818,16.75577922,1,250000
Liometopum.occidentale,12.9396875,49.23865,14.7219375,1,50000
Manica.invidia,7.462,38.11821053,15.05934211,0,400
Megaponera.analis,24.34445833,95.387625,11.18104167,1,983.7
Meranoplus.spinosus,25.765,264.663,7.767,0,150
Mesoponera.caffraria,22.95,107.8264375,11.55975,0,25
Messor.arenarius,18.78018919,23.07248649,11.75437838,1,344.2
Messor.barbarus,14.95869595,48.27554054,10.55128378,1,8000
Messor.ebeninus,21.27245833,23.89358333,12.53825,1,59676.5
Messor.rugosus,18.0502,39.9384,12.0596,0,2500
Messor.sanctus,16.42309677,42.58458065,11.49709677,1,3500
Metapone.vincimus,22.849,123.071,7.958,0,20
Monomorium.minimum,14.51922933,72.04965067,13.364832,0,3000
Monomorium.rothsteini,21.15654167,48.94920833,13.44083333,0,36500
Monomorium.viridum,17.88952273,98.46263636,12.091,0,10000
Mycetagroicus.cerradensis,22.00608333,113.4549167,11.95158333,0,373
Mycetagroicus.inflatus,26.309,145.789,12.472,0,65
Mycetarotes.acutus,25.6934,180.6294,10.1124,0,25
Mycetarotes.parallelus,22.79188235,131.8536471,10.90541176,0,110.57
Mycetophylax.conformis,23.32233333,179.1906667,8.066666667,0,104.58
Mycetophylax.morschi,21.43,222.024,9.105666667,0,108.21
Mycetosoritis.hartmanni,23.37327273,120.811,11.36945455,0,50
Mycocepurus.goeldii,22.63546552,127.2605345,11.29558621,0,678.86
Myopias.concava,21.411,399.646,16.174,0,60
Myopias.julivora,23.1174,234.939,11.6512,0,55
Myrmecia.brevinoda,17.49801786,85.42398214,12.70723214,1,2576
Myrmecia.dispar,17.20033333,38.59913333,13.6477,0,125
Myrmecia.forceps,15.88965217,51.13213043,12.90173913,0,25
Myrmecia.forficata,13.51657778,78.60181111,11.00018889,0,211
Myrmecia.froggatti,17.36408696,48.72182609,13.623,0,34.5
Myrmecia.fulvipes,13.81773684,81.37784211,11.50107895,0,108.56
Myrmecia.gulosa,17.11942424,80.82290909,12.58975758,1,974.24
Myrmecia.mandibularis,15.81593333,50.98786667,12.1483,0,402
Myrmecia.michaelseni,16.08554545,60.52818182,11.68045455,0,17
Myrmecia.nigrocincta,18.75725455,101.1084727,11.56189091,0,821
Myrmecia.picta,16.74154839,40.16574194,13.08967742,0,25
Myrmecia.piliventris,16.15633333,67.4182,12.64573333,0,165.5
Myrmecia.pilosula,13.27426446,75.47401653,11.04804132,0,754.2
Myrmecia.simillima,14.06488679,72.65383019,11.83830189,0,162.4
Myrmecia.tepperi,15.71612903,49.64445161,12.78558065,0,117
Myrmecia.vindex,16.82235,62.1142,11.6815,0,185.75
Myrmecina.americana,13.01562195,90.53613008,12.12265447,0,37
Myrmecina.graminicola,11.49155,71.253985,8.852865,0,27
Myrmecina.transversa,25.061,294.227,8.162,0,100
